[0, 0, 0, 1],0,55.132155989999966
[0, 0, 0, 1],1,54.132155989999966
[0, 0, 0, 1],2,55.132155989999966
[0, 0, 50, 1],0,51.25795109999997
[0, 0, 50, 1],1,50.25795109999997
[0, 0, 50, 1],2,51.25795109999997
[0, 0, 100, 1],0,46.953278999999974
[0, 0, 100, 1],1,45.953278999999974
[0, 0, 100, 1],2,46.953278999999974
[0, 0, 150, 1],0,42.17030999999998
[0, 0, 150, 1],1,41.17030999999998
[0, 0, 150, 1],2,42.17030999999998
[0, 0, 200, 1],0,36.855899999999984
[0, 0, 200, 1],1,35.855899999999984
[0, 0, 200, 1],2,36.855899999999984
[0, 0, 250, 1],0,30.950999999999986
[0, 0, 250, 1],1,29.950999999999986
[0, 0, 250, 1],2,30.950999999999986
[0, 0, 300, 1],0,24.38999999999999
[0, 0, 300, 1],1,23.38999999999999
[0, 0, 300, 1],2,24.38999999999999
[0, 0, 350, 1],0,17.099999999999994
[0, 0, 350, 1],1,16.099999999999994
[0, 0, 350, 1],2,17.099999999999994
[0, 0, 400, 1],0,8.999999999999998
[0, 0, 400, 1],1,7.999999999999999
[0, 0, 400, 1],2,8.999999999999998
[0, 50, 0, 1],0,54.132155989999966
[0, 50, 0, 1],1,55.132155989999966
[0, 50, 0, 1],2,54.132155989999966
[0, 50, 50, 1],0,50.25795109999997
[0, 50, 50, 1],1,51.25795109999997
[0, 50, 50, 1],2,50.25795109999997
[0, 50, 100, 1],0,45.953278999999974
[0, 50, 100, 1],1,46.953278999999974
[0, 50, 100, 1],2,45.953278999999974
[0, 50, 150, 1],0,41.17030999999998
[0, 50, 150, 1],1,42.17030999999998
[0, 50, 150, 1],2,41.17030999999998
[0, 50, 200, 1],0,35.855899999999984
[0, 50, 200, 1],1,36.855899999999984
[0, 50, 200, 1],2,35.855899999999984
[0, 50, 250, 1],0,29.950999999999986
[0, 50, 250, 1],1,30.950999999999986
[0, 50, 250, 1],2,29.950999999999986
[0, 50, 300, 1],0,23.38999999999999
[0, 50, 300, 1],1,24.38999999999999
[0, 50, 300, 1],2,23.38999999999999
[0, 50, 350, 1],0,16.099999999999994
[0, 50, 350, 1],1,17.099999999999994
[0, 50, 350, 1],2,16.099999999999994
[0, 50, 400, 1],0,7.999999999999999
[0, 50, 400, 1],1,8.999999999999998
[0, 50, 400, 1],2,7.999999999999999
[0, 100, 0, 1],0,52.23215598999997
[0, 100, 0, 1],1,54.132155989999966
[0, 100, 0, 1],2,52.23215598999997
[0, 100, 50, 1],0,48.35795109999997
[0, 100, 50, 1],1,50.25795109999997
[0, 100, 50, 1],2,48.35795109999997
[0, 100, 100, 1],0,44.053278999999975
[0, 100, 100, 1],1,45.953278999999974
[0, 100, 100, 1],2,44.053278999999975
[0, 100, 150, 1],0,39.27030999999998
[0, 100, 150, 1],1,41.17030999999998
[0, 100, 150, 1],2,39.27030999999998
[0, 100, 200, 1],0,33.95589999999998
[0, 100, 200, 1],1,35.855899999999984
[0, 100, 200, 1],2,33.95589999999998
[0, 100, 250, 1],0,28.050999999999988
[0, 100, 250, 1],1,29.950999999999986
